"","colNames_bk"
"281","m_n12_strategy_f_AND_m_n26_americas_f_AND_m_n35_automotive_f"
"282","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f"
"283","m_n27_asiapac_f_AND_m_n32_mckquaterly_f_AND_m_optin_monthly_highlights_f"
"284","m_n19_socialsector_f_AND_m_tenure_AND_top_pref_consumer_retail_f"
"285","m_n12_strategy_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"286","m_n24_travel_f_AND_w_avgperday_sec5ev10_AND_w_seclvl3ev8_cnspkg_f"
"287","m_n12_strategy_f_AND_m_optin_monthly_highlights_f_AND_w_cntdays_sec3ev8_cnspkg"
"288","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n24_travel_f"
"289","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n26_americas_f"
"290","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_w_cntdays_sec3ev8_cnspkg"
"291","m_n12_strategy_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"292","m_n09_operations_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"293","m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n29_europe_f"
"294","m_n05_digital_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"295","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n29_europe_f"
"296","m_n12_strategy_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
"297","m_n17_hightechtelecominternet_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"298","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"299","m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n35_automotive_f"
"300","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_top_pref_consumer_retail_f"
"301","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n22_publicsector_f"
"302","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_m_n26_americas_f"
"303","m_n24_travel_f_AND_m_n28_china_f_AND_w_seclvl3ev8_cnspkg_f"
"304","m_n17_hightechtelecominternet_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"305","m_n15_financialserv_f_AND_m_n29_europe_f_AND_m_n35_automotive_f"
"306","m_n14_energyresourcematerial_f_AND_m_n16_healthcare_f_AND_m_n19_socialsector_f"
"307","m_n08_marksales_f_AND_w_avgperday_sec5ev10_AND_w_seclvl3ev8_cnspkg_f"
"308","m_n12_strategy_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"309","m_n05_digital_f_AND_m_n16_healthcare_f_AND_top_pref_consumer_retail_f"
"310","m_n05_digital_f_AND_m_open_1mon_AND_m_openrate_1mon"
"311","m_n24_travel_f_AND_top_pref_consumer_retail_f_AND_w_seclvl3ev8_cnspkg_f"
"312","m_n22_publicsector_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"313","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n35_automotive_f"
"314","m_n06_corpfinance_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f"
"315","m_n08_marksales_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"316","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"317","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f"
"318","m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f_AND_m_n19_socialsector_f"
"319","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_top_pref_consumer_retail_f"
"320","m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_top_pref_consumer_retail_f"
"321","m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n24_travel_f"
"322","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n26_americas_f"
"323","m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"324","m_n14_energyresourcematerial_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"325","m_n08_marksales_f_AND_m_n29_europe_f_AND_m_n35_automotive_f"
"326","m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f"
"327","m_n19_socialsector_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"328","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n35_automotive_f"
"329","m_n09_operations_f_AND_m_n22_publicsector_f_AND_m_n28_china_f"
"330","m_n12_strategy_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"331","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_top_pref_consumer_retail_f"
"332","m_n08_marksales_f_AND_m_n27_asiapac_f_AND_w_seclvl3ev8_cnspkg_f"
"333","m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f"
"334","m_n14_energyresourcematerial_f_AND_m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"335","m_n08_marksales_f_AND_m_n28_china_f_AND_m_n35_automotive_f"
"336","m_n09_operations_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"337","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"338","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_optin_monthly_highlights_f"
"339","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n17_hightechtelecominternet_f"
"340","m_n08_marksales_f_AND_m_n24_travel_f"
"341","m_n08_marksales_f_AND_m_n22_publicsector_f"
"342","m_n12_strategy_f_AND_m_n22_publicsector_f"
"343","m_dayssnclast_open_AND_m_dayssnclast_open"
"344","m_n24_travel_f_AND_m_n27_asiapac_f"
"345","m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"346","m_n17_hightechtelecominternet_f_AND_m_n26_americas_f"
"347","m_n12_strategy_f_AND_top_pref_consumer_retail_f"
"348","m_dayssnclast_open_AND_m_openrate_1mon"
"349","m_n14_energyresourcematerial_f_AND_m_n19_socialsector_f"
"350","m_n24_travel_f_AND_m_optin_monthly_highlights_f"
"351","m_open_9mon_AND_m_openrate_9mon"
"352","m_n16_healthcare_f_AND_m_n35_automotive_f"
"353","m_open_timediff_AND_m_openrate_6mon"
"354","m_fivefifty_open_6mon_AND_m_fivefifty_openrate_6mon"
"355","m_n12_strategy_f_AND_w_seclvl3ev8_cnspkg_f"
"356","m_fivefifty_openrate_6mon_AND_m_openrate_1mon"
"357","m_n16_healthcare_f_AND_m_n24_travel_f"
"358","m_n15_financialserv_f_AND_m_n19_socialsector_f"
"359","m_n15_financialserv_f_AND_m_n16_healthcare_f"
"360","m_n08_marksales_f_AND_m_n15_financialserv_f"
"361","m_n12_strategy_f_AND_m_n26_americas_f"
"362","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f"
"363","m_n17_hightechtelecominternet_f_AND_m_n29_europe_f"
"364","m_n22_publicsector_f_AND_m_n26_americas_f"
"365","m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"366","m_n08_marksales_f_AND_m_optin_monthly_highlights_f"
"367","m_n24_travel_f_AND_m_n28_china_f"
"368","m_openrate_1mon_AND_m_openrate_3mon"
"369","m_n14_energyresourcematerial_f_AND_m_n16_healthcare_f"
"370","m_n22_publicsector_f_AND_top_pref_consumer_retail_f"
"371","m_n05_digital_f_AND_m_n16_healthcare_f"
"372","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f"
"373","m_open_1mon_AND_m_openrate_1mon"
"374","m_n08_marksales_f_AND_m_n12_strategy_f"
"375","m_n19_socialsector_f_AND_m_n26_americas_f"
"376","m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f"
"377","m_n12_strategy_f_AND_w_cntdays_sec3ev8_cnspkg"
"378","m_n19_socialsector_f_AND_top_pref_consumer_retail_f"
"379","m_open_1mon_AND_m_open_3mon"
"380","m_dayssnclast_open_AND_m_n14_energyresourcematerial_f"
"381","m_n19_socialsector_f_AND_m_n35_automotive_f"
"382","m_n12_strategy_f_AND_m_n29_europe_f"
"383","m_n09_operations_f_AND_m_n16_healthcare_f"
"384","m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"385","m_open_3mon_AND_m_open_6mon"
"386","w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"387","m_n08_marksales_f_AND_m_n19_socialsector_f"
"388","m_n19_socialsector_f_AND_m_n24_travel_f"
"389","m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"390","m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f"
"391","m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f"
"392","m_n15_financialserv_f_AND_m_n22_publicsector_f"
"393","m_n24_travel_f_AND_m_n29_europe_f"
"394","m_open_6mon_AND_m_openrate_6mon"
"395","m_n08_marksales_f_AND_w_seclvl3ev8_cnspkg_f"
"396","m_n27_asiapac_f_AND_m_optin_monthly_highlights_f"
"397","m_fivefifty_open_6mon_AND_m_open_1mon"
"398","m_dayssnclast_open_AND_m_n26_americas_f"
"399","m_n12_strategy_f_AND_m_optin_monthly_highlights_f"
"400","m_n09_operations_f_AND_w_seclvl3ev8_cnspkg_f"
"401","m_n09_operations_f_AND_m_n26_americas_f"
"402","m_n15_financialserv_f_AND_m_n24_travel_f"
"403","m_n08_marksales_f_AND_m_n29_europe_f"
"404","m_n08_marksales_f_AND_m_n26_americas_f"
"405","m_n08_marksales_f_AND_w_cntdays_sec3ev8_cnspkg"
"406","m_n08_marksales_f_AND_m_n16_healthcare_f"
"407","m_n08_marksales_f_AND_m_n35_automotive_f"
"408","m_dayssnclast_open_AND_m_n12_strategy_f"
"409","m_n09_operations_f_AND_m_n22_publicsector_f"
"410","m_n16_healthcare_f_AND_m_n19_socialsector_f"
"411","m_n09_operations_f_AND_w_cntdays_sec3ev8_cnspkg"
"412","m_dayssnclast_open_AND_m_open_1mon"
"413","m_open_timediff_AND_m_openrate_9mon"
"414","m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"415","m_open_6mon_AND_m_openrate_1mon"
"416","m_optin_monthly_highlights_f_AND_w_cntdays_sec3ev8_cnspkg"
"417","m_n12_strategy_f_AND_m_n24_travel_f"
"418","m_n16_healthcare_f_AND_m_n22_publicsector_f"
"419","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f"
"420","m_n06_corpfinance_f_AND_m_n16_healthcare_f"
"421","m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"422","m_n19_socialsector_f_AND_w_cntdays_sec3ev8_cnspkg"
"423","m_n32_mckquaterly_f_AND_m_optin_monthly_highlights_f"
"424","m_n22_publicsector_f_AND_w_seclvl3ev8_cnspkg_f"
"425","m_n15_financialserv_f_AND_m_n35_automotive_f"
"426","m_n15_financialserv_f_AND_m_n29_europe_f"
"427","m_n14_energyresourcematerial_f_AND_w_cntdays_sec3ev8_cnspkg"
"428","m_n24_travel_f_AND_top_pref_consumer_retail_f"
"429","m_n29_europe_f_AND_m_optin_monthly_highlights_f"
"430","m_n12_strategy_f_AND_m_open_1mon"
"431","m_open_6mon_AND_m_openrate_9mon"
