"","colNames_bk"
"84","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_top_pref_consumer_retail_f"
"85","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f"
"86","m_n08_marksales_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f_AND_w_cntdays_sec3ev8_cnspkg"
"87","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"88","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n24_travel_f_AND_m_n29_europe_f"
"89","m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_m_n26_americas_f"
"90","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n32_mckquaterly_f_AND_m_optin_monthly_highlights_f"
"91","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"92","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f"
"93","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"94","m_n08_marksales_f_AND_m_n24_travel_f_AND_w_avgperday_sec5ev10_AND_w_seclvl3ev8_cnspkg_f"
"95","m_n06_corpfinance_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f_AND_m_n28_china_f"
"96","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n27_asiapac_f_AND_w_seclvl3ev8_cnspkg_f"
"97","m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n22_publicsector_f_AND_m_n24_travel_f"
"98","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n22_publicsector_f_AND_m_n28_china_f"
"99","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"100","m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n29_europe_f_AND_m_n35_automotive_f"
"101","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"102","m_n09_operations_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"103","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n26_americas_f_AND_m_open_1mon"
"104","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
"105","m_n12_strategy_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"106","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_m_tenure"
"107","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_m_tenure_AND_top_pref_consumer_retail_f"
"108","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_m_n29_europe_f"
"109","m_n16_healthcare_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"110","m_dayssnclast_open_AND_m_n24_travel_f_AND_m_n27_asiapac_f_AND_m_n29_europe_f"
"111","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
"112","m_n05_digital_f_AND_m_n14_energyresourcematerial_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"113","m_n12_strategy_f_AND_m_n22_publicsector_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"114","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"115","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"116","m_n09_operations_f_AND_m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f_AND_m_n19_socialsector_f"
"117","m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"118","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"119","m_n14_energyresourcematerial_f_AND_m_n16_healthcare_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"120","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n28_china_f_AND_w_seclvl3ev8_cnspkg_f"
"121","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n27_asiapac_f_AND_w_cntdays_sec3ev8_cnspkg"
"122","m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"123","m_n09_operations_f_AND_m_n19_socialsector_f_AND_m_n26_americas_f_AND_top_pref_consumer_retail_f"
"124","m_n24_travel_f_AND_m_n29_europe_f_AND_top_pref_consumer_retail_f_AND_w_seclvl3ev8_cnspkg_f"
"125","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg"
"126","m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n26_americas_f"
"127","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n29_europe_f_AND_m_open_1mon"
"128","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"129","m_open_1mon_AND_m_open_1mon_AND_m_openrate_1mon_AND_m_openrate_1mon"
"130","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n29_europe_f_AND_top_pref_consumer_retail_f"
"131","m_n05_digital_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"132","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f"
"133","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f"
"134","m_n14_energyresourcematerial_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n28_china_f"
"135","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"136","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n29_europe_f_AND_w_seclvl3ev8_cnspkg_f"
"137","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"138","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n26_americas_f"
"139","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_top_pref_consumer_retail_f"
"140","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f"
"141","m_n05_digital_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"142","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n22_publicsector_f_AND_w_seclvl3ev8_cnspkg_f"
"143","m_n08_marksales_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"144","m_n09_operations_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"145","m_n19_socialsector_f_AND_m_n26_americas_f_AND_top_pref_consumer_retail_f_AND_w_cntdays_sec3ev8_cnspkg"
"146","m_n24_travel_f_AND_m_n27_asiapac_f_AND_m_optin_monthly_highlights_f_AND_w_seclvl3ev8_cnspkg_f"
"147","m_n08_marksales_f_AND_m_n26_americas_f_AND_m_n35_automotive_f_AND_w_cntdays_sec3ev8_cnspkg"
"148","m_n09_operations_f_AND_m_n12_strategy_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
"149","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"150","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f_AND_w_seclvl3ev8_cnspkg_f"
"151","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f_AND_m_n35_automotive_f"
"152","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n29_europe_f_AND_m_n35_automotive_f"
"153","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n15_financialserv_f_AND_m_n29_europe_f"
"154","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n22_publicsector_f_AND_m_n28_china_f"
"155","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n16_healthcare_f_AND_m_n22_publicsector_f"
"156","m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n28_china_f_AND_top_pref_consumer_retail_f"
"157","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n26_americas_f_AND_top_pref_consumer_retail_f"
"158","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n24_travel_f_AND_w_cntdays_sec3ev8_cnspkg"
"159","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"160","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"161","m_n24_travel_f_AND_m_n27_asiapac_f_AND_top_pref_consumer_retail_f_AND_w_seclvl3ev8_cnspkg_f"
"162","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"163","m_n12_strategy_f_AND_m_n24_travel_f_AND_m_tenure_AND_top_pref_consumer_retail_f"
"164","m_n08_marksales_f_AND_m_n24_travel_f_AND_w_avgperday_sec5ev10_AND_w_cntdays_sec3ev8_cnspkg"
"165","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n26_americas_f_AND_w_seclvl3ev8_cnspkg_f"
"166","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n17_hightechtelecominternet_f_AND_w_cntdays_sec3ev8_cnspkg"
"167","m_n19_socialsector_f_AND_m_n26_americas_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"168","m_n24_travel_f_AND_m_n27_asiapac_f_AND_m_n32_mckquaterly_f_AND_m_optin_monthly_highlights_f"
"169","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n12_strategy_f_AND_m_n24_travel_f"
"170","m_n08_marksales_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f_AND_w_seclvl3ev8_cnspkg_f"
"171","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n29_europe_f_AND_w_cntdays_sec3ev8_cnspkg"
"172","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n28_china_f"
"173","m_n08_marksales_f_AND_m_n19_socialsector_f_AND_m_n35_automotive_f_AND_top_pref_consumer_retail_f"
"174","m_n12_strategy_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f_AND_w_seclvl3ev8_cnspkg_f"
"175","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n29_europe_f_AND_top_pref_consumer_retail_f"
"176","m_n08_marksales_f_AND_m_n22_publicsector_f_AND_m_n28_china_f_AND_top_pref_consumer_retail_f"
"177","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_optin_monthly_highlights_f_AND_w_cntdays_sec3ev8_cnspkg"
"178","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n27_asiapac_f_AND_m_open_1mon"
"179","m_n08_marksales_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"180","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n24_travel_f"
"181","m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f_AND_m_n24_travel_f"
"182","m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"183","m_n16_healthcare_f_AND_m_n19_socialsector_f_AND_m_n24_travel_f"
"184","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f"
"185","m_n08_marksales_f_AND_m_n14_energyresourcematerial_f_AND_w_cntdays_sec3ev8_cnspkg"
"186","m_n24_travel_f_AND_m_n27_asiapac_f_AND_m_optin_monthly_highlights_f"
"187","m_n08_marksales_f_AND_m_n17_hightechtelecominternet_f_AND_m_n26_americas_f"
"188","m_n14_energyresourcematerial_f_AND_m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f"
"189","m_n08_marksales_f_AND_m_n26_americas_f_AND_top_pref_consumer_retail_f"
"190","m_n08_marksales_f_AND_m_n12_strategy_f_AND_w_seclvl3ev8_cnspkg_f"
"191","m_n06_corpfinance_f_AND_m_n16_healthcare_f_AND_m_n29_europe_f"
"192","m_n24_travel_f_AND_m_n29_europe_f_AND_top_pref_consumer_retail_f"
"193","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n14_energyresourcematerial_f"
"194","m_n06_corpfinance_f_AND_m_n16_healthcare_f_AND_m_n28_china_f"
"195","m_n15_financialserv_f_AND_m_n19_socialsector_f_AND_m_tenure"
"196","m_n17_hightechtelecominternet_f_AND_m_n24_travel_f_AND_m_n26_americas_f"
"197","m_n16_healthcare_f_AND_m_n19_socialsector_f_AND_m_n35_automotive_f"
"198","m_n16_healthcare_f_AND_m_n24_travel_f_AND_top_pref_consumer_retail_f"
"199","m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f_AND_m_n22_publicsector_f"
"200","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_open_1mon"
"201","m_n09_operations_f_AND_m_n14_energyresourcematerial_f_AND_w_cntdays_sec3ev8_cnspkg"
"202","m_n08_marksales_f_AND_w_cntdays_sec3ev8_cnspkg_AND_w_cntdays_sec3ev8_cnspkg"
"203","m_n09_operations_f_AND_m_n29_europe_f_AND_w_seclvl3ev8_cnspkg_f"
"204","m_n17_hightechtelecominternet_f_AND_m_n19_socialsector_f_AND_m_n28_china_f"
"205","m_n09_operations_f_AND_m_n16_healthcare_f_AND_m_n17_hightechtelecominternet_f"
"206","m_n14_energyresourcematerial_f_AND_m_open_1mon_AND_m_openrate_1mon"
"207","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_openrate_1mon"
"208","m_dayssnclast_open_AND_m_dayssnclast_open_AND_m_n31_sustainability_f"
"209","m_n08_marksales_f_AND_w_avgperday_sec5ev10_AND_w_cntdays_sec3ev8_cnspkg"
"210","m_n15_financialserv_f_AND_m_n16_healthcare_f_AND_m_n24_travel_f"
"211","m_n08_marksales_f_AND_m_n15_financialserv_f_AND_m_n17_hightechtelecominternet_f"
"212","m_n08_marksales_f_AND_m_n29_europe_f_AND_w_seclvl3ev8_cnspkg_f"
"213","m_n12_strategy_f_AND_m_n22_publicsector_f_AND_w_cntdays_sec3ev8_cnspkg"
"214","m_n08_marksales_f_AND_m_n09_operations_f_AND_m_n22_publicsector_f"
"215","m_n08_marksales_f_AND_m_n12_strategy_f_AND_m_n26_americas_f"
"216","m_n08_marksales_f_AND_m_n24_travel_f_AND_m_n28_china_f"
"217","m_n06_corpfinance_f_AND_m_n16_healthcare_f_AND_m_n35_automotive_f"
"218","m_open_1mon_AND_m_openrate_1mon_AND_m_openrate_1mon"
